,Text,Language
147,ഇത് വാൻഡലിസം അല്ല.,Malayalam
1544,ఇది విద్యావంతుల్లో వచ్చినమార్పు కాదు.,Telugu
239,ക്യാച്ച് -22 എന്ന പദം ഉപയോഗിക്കാൻ.,Malayalam
1583,పంది ఎరువును ఎరువులుగా ఉపయోగిస్తారు.,Telugu
1865,దీని వెనుక చాలా వ్యవహారం వుంది.,Telugu
10,ലാഭേച്ഛയില്ലാതെ പ്രവർത്തിക്കുന്ന വിക്കിമീഡിയ ഫൗണ്ടേഷന്റെ പിന്തുണയോടെയാണ് ഈ പദ്ധതി പ്രവർത്തിക്കുന്നത്.,Malayalam
1661,అతని కోరిక మేరకు అతని మృతదేహానికి తమిళ ఈలం జెండాలో చుట్టి ఉంచారు.,Telugu
36,വളരെയധികം ഉപയോക്താക്കൾ തുടർച്ചയായി വിക്കിപീഡിയ മെച്ചപ്പെടുത്തുന്നുണ്ട്.,Malayalam
1305,ನೀವು ತಪ್ಪಾಗಿ ಭಾವಿಸಿದ್ದೀರಿ ಎಂದು ನಾನು ಭಾವಿಸುತ್ತೇನೆ.,Kannada
85,പക്ഷേ അദ്ദേഹത്തിന്റെ ജനനം മുതലുള്ള എല്ലാ പ്രധാന കാര്യങ്ങളും വിക്കിപീഡിയയിൽ ഉണ്ടാവും.,Malayalam
1899,ఏ కష్టముందని కూడా చెప్పలేదు.,Telugu
1810,వీటన్నింటి మధ్య ఇంకెక్కడుంటుంది సుఖం ?,Telugu
1302,ನೀವು ತಲೆಗೆ ಉಗುರು ಹೊಡೆದಿದ್ದೀರಿ.,Kannada
1091,"ಆಶ್ಚರ್ಯಚಕಿತರಾಗಲು ಆಶ್ಚರ್ಯಕರವಾಗಿ ಉತ್ತಮವಾದದ್ದನ್ನು ವಿವರಿಸಲು ಬಳಸಲಾಗುತ್ತದೆ, ಉದಾಹರಣೆಗೆ ಅವಳು ಆ ಉಡುಪಿನಲ್ಲಿ ಅದ್ಭುತವಾಗಿ ಕಾಣಿಸುತ್ತಾಳೆ ಅಥವಾ ಈ ಬಾಲ್ಕನಿಯಲ್ಲಿ ಯಾವ ಅದ್ಭುತ ನೋಟ ಅಥವಾ ನಾನು ಈ ಅದ್ಭುತ ಪುಸ್ತಕವನ್ನು ಓದುತ್ತಿದ್ದೇನೆ, ಅದು ಹೇಗೆ ಹೋಗುತ್ತದೆ ಮತ್ತು ಕೆಳಗೆ ಹೋಗುವುದಿಲ್ಲ ಹೇಳಿ.",Kannada
870,நான் திருகினேன்.,Tamil
975,இதற்கு யோ எனக்கு உதவ முடியுமா என்று நான் யோசித்துக்கொண்டிருந்தேன்.,Tamil
27,ജിമ്മി വെയിൽ‌സും സഹായി ലാരി സാങറും ആയിരുന്നു അതിന്റെ ശിൽപ്പികൾ[9][10].,Malayalam
887,வணக்கம் மற்றும் வரவேற்பு.,Tamil
630,"[37] ஜனவரி 12, 2001,[38] ஜனவரி 13, 2001[39] இல் முறையே விக்கிப்பீடியா.கொம், விக்கிப்பீடியா.ஓர்க் ஆகிய ஆள்களப் பெயர்கள் பதிவு செய்யப்பட்டன.",Tamil
967,"ஆம், தயவுசெய்து உறுதிப்படுத்திக் கொள்ளுங்கள், மேலே செல்லுங்கள்.",Tamil
90,ഇതിൽ നിന്ന് ജനാധിപത്യ പ്രക്രിയയിലൂടെ വിക്കിപീഡിയർ എല്ലാ മാസവും ഓരോ ലേഖനങ്ങളെ തിരഞ്ഞെടുക്കുന്നു.,Malayalam
515,"അതെ, ദയവായി.",Malayalam
1289,ಅದರ ಬಗ್ಗೆ ನಿಮ್ಮ ಅಭಿಪ್ರಾಯವೇನು?,Kannada
199,ഒറ്റ നോട്ടത്തിൽ ഒരു ബന്ധവും തോന്നാൻ ഇടയില്ലാത്ത വിവര മാനദണ്ഡങ്ങളെ ചേർത്ത് സാമ്യതയുള്ളവയെ കൂട്ടങ്ങളായി വകതിരിക്കാൻ ക്ലസ്റ്ററിംഗിലൂടെ കഴിയും.,Malayalam
998,யாரையாவது காத்திருக்கச் சொல்கிறது.,Tamil
658,"[59] இம்முறைமையின் கீழ், சர்ச்சைக்குரிய அல்லது குழப்பம் விளைவிக்கக்கூடிய ஆபத்துடைய கட்டுரைகளின் மீதான புதிய பயனர்களின் தொகுப்புக்கள், அங்கீகரிக்கப்பட்ட ஒரு விக்கிப்பீடியா பயனரின் மேற்பார்வையின் பின்னரே வெளியிடப்படும்.",Tamil
401,എനിക്ക് പകരം ആരെങ്കിലും പ്രവർത്തിക്കണമെന്ന് നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെങ്കിൽ ഞാൻ അത് വിശദീകരിച്ചു.,Malayalam
776,எல்லாம் போகிறதென்றால் அவற்றை வளர்ப்பதற்கு முன்பு நீங்கள் என்ன செய்தீர்கள்?,Tamil
572,"വളരെ ഭയമായിരുന്നു വിഷമിക്കേണ്ട എന്റെ പ്രിയേ, ഇതെല്ലാം പറഞ്ഞുകഴിഞ്ഞാലുടൻ വണ്ടി മറ്റൊരു പോർട്ടലിലൂടെ പോയി ഡ്രൈവ്വേയിൽ എത്തി.",Malayalam
541,ഒരു ചെറിയ ഗ്രാമത്തിൽ ഒരിക്കൽ സ്വർണ്ണ അപ്പം മരിയൻ എന്ന സ്ത്രീ താമസിച്ചിരുന്നു.,Malayalam
1316,ಇಂದು ರಾತ್ರಿ dinner ಟಕ್ಕೆ ಪಿಜ್ಜಾ ಹೊಂದುವ ಬಗ್ಗೆ ಹೇಗೆ?,Kannada
880,"நான் கவனித்துக் கொள்ளுங்கள் என்று சொல்ல முடியும், அதாவது உங்களை கவனித்துக் கொள்ளுங்கள்.",Tamil
732,"ஆனால் ஒரு பிழைத்திருத்தத்தில் ஒரு சிக்கலான சூழ்நிலையில் இருப்பதைக் குறிக்கிறீர்கள், ஒரு பிழைத்திருத்தத்திற்குப் பதிலாக நீங்கள் பயன்படுத்தக்கூடிய பிற சொற்கள் நான் ஒரு சூப்பில் இருக்கிறேன் அல்லது நான் ' நான் ஒரு குழப்பத்தில் இருக்கிறேன் அல்லது நான் தொந்தரவு செய்யும் இடத்தில் இருக்கிறேன் அல்லது நான் ஒரு இடத்தில் இருக்கிறேன் ஸ்மார்ட் சொல் எண் 7 என்பது ஃப்ளூமொக்ஸ் ஃப்ளூமொக்ஸ் என்பது ஒருவரை குழப்புவது.",Tamil
1116,ನಾನು ನಿಮಗೆ ಆ ರಹಸ್ಯ ಸಲಹೆಯನ್ನು ತುಂಬಾ ನಿರರ್ಗಳವಾಗಿ ಧ್ವನಿಸಲು ನೀಡುತ್ತೇನೆ.,Kannada
689,"இது “பி.எச்.பி.”, “மைசீக்குவல்” ஆகிய ‘இணைய நிரல் மொழிகள்' மூலம் எழுதப்பட்டது.",Tamil
1592,వివాదాల దర్శకుడు రామ్ గోపాల్ వర్మ తాజాగా ఒక సామాజిక అంశంపై ట్విట్టర్లో స్పందించారు.,Telugu
1641,తెలంగాణకు భారీ వర్ష సూచన .,Telugu
276,"അല്ലെങ്കിൽ ഈ പാദത്തിൽ ബിസിനസ്സ് മന്ദഗതിയിലാണ്, നിങ്ങൾക്ക് ഒരു ദിവസം വളരെ ക്ഷീണം തോന്നുന്നുവെങ്കിൽ നിങ്ങളുടെ ദൈനംദിന ജീവിതത്തിൽ ഇത് ഉപയോഗിക്കാൻ കഴിയും, നിങ്ങൾക്ക് ഒരു ദിവസം നിങ്ങളുടെ അമ്മയോട് പറയാൻ കഴിയും അല്ലെങ്കിൽ നിങ്ങൾക്ക് പറയാൻ കഴിയും.",Malayalam
161,എന്നാൽ അതൊട്ട്‌ അപ്രാപ്യമല്ല താനും.,Malayalam
1694,అందుకే ఆయన కొంత ఆగ్రహానికి గురయ్యారు.,Telugu
376,"പരാജയങ്ങൾക്ക് ശേഷം ആരെങ്കിലും വിജയിച്ചാൽ അത് കത്തിക്കാം, അതിനാൽ നിങ്ങൾക്ക് അവിടെ പോകാമെന്ന് ഞാൻ നിങ്ങളോട് പറഞ്ഞിട്ടുണ്ട്, നിങ്ങൾ അത് അവിടെ ഉണ്ടാക്കുമെന്ന് ഞാൻ നിങ്ങളോട് പറഞ്ഞു, നിങ്ങൾ ക്ഷീണിതനാണോ എന്ന് ആരെങ്കിലും നിങ്ങളോട് ചോദിച്ചാൽ നിങ്ങൾ തളർന്നില്ലെന്ന് പറയാൻ ആഗ്രഹിക്കുന്നു കുറച്ചുകൂടി പറയാൻ കഴിയില്ല.",Malayalam
676,"[66][67][68] சில தானியங்கிகள், வேண்டத்தகாத தொகுப்புக்களை மேற்கொள்ளும் பயனர்களை எச்சரிப்பதற்காகவும் பயன்படுத்தப்படுகின்றன.",Tamil
1248,ನಾನು ನಂತರ ನೋಡುತ್ತೇನೆ.,Kannada
938,நீங்கள் தவறாக நினைக்கிறீர்கள் என்று நினைக்கிறேன்.,Tamil
979,"மன்னிக்கவும், என்னால் இப்போது முடியாது.",Tamil
478,ഇന്ന് രാത്രി അത്താഴത്തിന് പിസ്സ കഴിക്കുന്നതിനെക്കുറിച്ച്?,Malayalam
865,இது ஒரு மூளை இல்லை என்று நீங்கள் கூறுகிறீர்கள்.,Tamil
1755,జెర్సీ అంటే?,Telugu
1256,ನನ್ನ ನಂತರ ಹೇಳುವ ವಾಕ್ಯ ಅಭ್ಯಾಸವನ್ನು ನೀವು ಕೇಳಿದಾಗ.,Kannada
806,"ஒருவேளை நீங்கள் தொலைபேசியில் பேசிக்கொண்டிருக்கலாம், யாரோ உங்களுடன் பேசிக்கொண்டிருக்கலாம், நீங்கள் அப்படி இருக்கிறீர்கள்.",Tamil
131,വിക്കിപീഡിയയിൽ വിക്കിപീഡിയർക്കായുള്ള താളുകളിൽ ഇവരെ പരിചയപ്പെടാം.,Malayalam
1472,1980 వరకు ప్రాథమిక తెలుగు మాధ్యమిక పాఠశాలలు ఉండేవి.,Telugu
362,ഇതിനർത്ഥം വ്യക്തിയെ വീണ്ടും ആവർത്തിക്കാൻ പ്രേരിപ്പിക്കുന്നതെന്താണ്?,Malayalam
1555,అనే విషయాలపై భద్రతా దళాలు ఆరా తీస్తున్నాయి.,Telugu
8,"ദർശനം ശാസ്ത്രം ==കുറിപ്പുകളും അവലംബങ്ങളും==ഉരുൾപൊട്ടൽ   The image must be attributed with a credit line reading ""Reprinted by permission from Macmillan Publishers Ltd: Nature {{{1}}}, copyright {{{2}}}"", and a hyperlink to nature's homepage.",Malayalam
1644,తదనుగుణంగా శ్రీమతి నిర్మలా సీతారామన్‌ నిర్వహించిన తాజా సమీక్షలో గణనీయ ప్రగతి నమోదైనట్లు తేలింది.,Telugu
712,"பணம் ஆனால் உங்களிடம் போதுமான பணம் இருப்பதாக வங்கிக்கு நிரூபிக்காவிட்டால் அந்த வங்கிக் கடனைப் பெற மாட்டீர்கள், எனவே அடுத்த முறை நீங்கள் ஒரு தந்திரமான சூழ்நிலையில் சிக்கியிருப்பதை நினைவில் கொள்க.",Tamil
42,മൃതമായി കൊണ്ടിരുന്ന പല ഭാഷകളും ലിപികളും വിക്കിപീഡിയയുടെ പ്രവർത്തനങ്ങളിലൂടെ പുനർജീവിച്ചു കൊണ്ടിരിക്കുന്നു[13].,Malayalam
1088,"ಟೀಕಿಸಿ ಮತ್ತು ಹೇಳಿ ಇದು ದೌರ್ಜನ್ಯದ ಕ್ರಿಯೆ ಸ್ಮಾರ್ಟ್ ಪದ ಸಂಖ್ಯೆ 5 ಅದ್ಭುತ, ಅದ್ಭುತ, ಅದ್ಭುತ, ಅಂದರೆ ಅದ್ಭುತ ಬೆರಗುಗೊಳಿಸುವ.",Kannada
1791,ఇది ఏమిటి ప్రయోజనాలు కలిగి ఉన్నారు?,Telugu
1432,మళ్లీ ఉదయిస్తాడు.,Telugu
322,"വിഷമിക്കേണ്ട, അതിനെക്കുറിച്ച് വിഷമിക്കേണ്ടതില്ല.",Malayalam
1227,ಹೇ ಮತ್ತೊಂದು ಪದಗುಚ್ together ವನ್ನು ಒಟ್ಟಿಗೆ ಶಾಂತಗೊಳಿಸಿ.,Kannada
1310,ಮುಂದುವರೆಸು.,Kannada
117,ഇവരുടെ സമൂഹത്തെ വിക്കിസമൂഹമെന്നും പറയുന്നു.,Malayalam
1341,ದಯವಿಟ್ಟು?,Kannada
1780,రాజ్యాంగబద్ధ సంస్థలను నిర్వీర్యం చేస్తున్నారు.,Telugu
1340,ನೀವು ನನಗೆ ಉಪ್ಪು ರವಾನಿಸಬಹುದೇ?,Kannada
1639,ఈ సినిమాలో బాలీవుడ్ న‌టుడు అజ‌య్‌దేవ‌గ‌న్ ఓ కీల‌క పాత్ర పోషిస్తార‌న్న చ‌ర్చ సాగుతోంది.,Telugu
1681,ఆ దిశగా ప్రభుత్వాలు కదలాలి.,Telugu
693,"தற்போது 100-க்கும் மேற்பட்ட வழங்கிகள், உலகின் நான்கு பகுதிகளில் விக்கிப்பீடியாவை வழங்குகின்றன.",Tamil
974,எனக்கு கொஞ்சம் கடன் கொடுக்க நினைப்பீர்களா?,Tamil
434,വിവരങ്ങൾ ചോദിക്കുന്നു.,Malayalam
662,"ஒவ்வொரு கட்டுரைக்குமான ‘பேச்சுப்பக்கம்’, பல்வேறு பயனர்களும் தம்முள் ஒருங்கிணைந்து செயற்பட உதவுகிறது.",Tamil
1179,ಅದು ಅಪ್ರಸ್ತುತವಾಗುತ್ತದೆ.,Kannada
1576,పరిశోధనలెక్కడ?,Telugu
1476,బయట స్కూలు ఆఫీసు మార్కెట్టు కోర్టుల్లో ఎన్నెన్నో పదాలు ఎడతెరిపి లేకుండ వాడుతున్నారు.,Telugu
31,[അവലംബം ആവശ്യമാണ്] അനേകം എഴുത്തുകാരുടേയും വായനക്കാരുടേയും സഹകരണത്തോടെ സൃഷ്ടിക്കപ്പെട്ടിരിക്കുന്ന ഒരു സ്വതന്ത്ര ഓൺ‌ലൈൻ വിജ്ഞാനകോശമാണ് വിക്കിപീഡിയ.,Malayalam
1754,ఆసనపురుగు - ఎవరిది?,Telugu
84,നല്ലവനാണോ ചീത്തയാണോ എന്ന് വിക്കിപീഡിയയിൽ നിന്ന് അറിയാൻ കഴിയില്ല.,Malayalam
913,என்னை மன்னிக்கவும்?,Tamil
2027,ఇప్పుడూ సాగుతున్నాయి.,Telugu
1444,"మొనాకో-విల్లెలో, ఫ్రెంచ్, మోనెగస్క్యూ రెండింటిలో వీధి చిహ్నాలను ప్రింట్ చేస్తారు.",Telugu
1021,ஓ அன்பே ஒரு இரவு அவள் தூங்கும்போது அம்மா அவளைப் பார்த்துக் கொண்டிருந்தாள்.,Tamil
91,ഇംഗ്ലീഷ് പോലുള്ള വിക്കിപീഡിയകളിൽ എല്ലാ ദിവസവും പുതിയ ലേഖനങ്ങളെ തിരഞ്ഞെടുത്ത് പ്രധാന താൾ പുതുക്കാറുണ്ട്.,Malayalam
534,അതിൽ ഞാൻ ഖേദിക്കുന്നു.,Malayalam
516,"അത് കൊള്ളാം, നന്ദി.",Malayalam
802,என்னை மன்னிக்கவும்.,Tamil
730,"நான் எனது தொலைபேசியை இழந்துவிட்டேன், நான் ஒரு பிழைத்திருத்தத்தில் இருக்கிறேன் அல்லது இன்று காலை எங்கள் பஸ் உடைந்துவிட்டது, நான் ஒரு பிழைத்திருத்தத்தில் இருக்கிறேன், எனது நண்பர் எப்போதுமே ஒரு பிழைத்திருத்தத்தில் இருக்கும்போது உதவிக்காக என்னிடம் திரும்புவார், போகும் போது அவர் மறந்துவிடுவார்.",Tamil
531,ഒരു നിമിഷം എന്നോട് സഹിക്കൂ.,Malayalam
756,எனவே ஒரு நேரத்தில் நீங்கள் உச்சரிக்கிறீர்கள் என்பதை உறுதிப்படுத்திக் கொள்ளுங்கள்.,Tamil
882,கவனித்துக் கொள்ளுங்கள்.,Tamil
1324,ಮುಂದಿನ ಶನಿವಾರ ನೀವು ಮುಕ್ತರಾಗಿದ್ದೀರಾ?,Kannada
1127,ನೀವು ಈಗಾಗಲೇ ಚಂದಾದಾರ ಬಟನ್ ಮತ್ತು ಅದರ ಪಕ್ಕದಲ್ಲಿರುವ ಬೆಲ್ ಐಕಾನ್ ಅನ್ನು ಒತ್ತಿ ಮತ್ತು ಸಂತೋಷದಿಂದ ನೋಡುತ್ತಿದ್ದರೆ.,Kannada
238,"പണം എന്നാൽ നിങ്ങൾക്ക് മതിയായ പണമുണ്ടെന്ന് ബാങ്കിനോട് തെളിയിച്ചില്ലെങ്കിൽ നിങ്ങൾക്ക് ആ ബാങ്ക് വായ്പ ലഭിക്കില്ല, അതിനാൽ അടുത്ത തവണ നിങ്ങൾ ഒരു വിഷമകരമായ അവസ്ഥയിൽ കുടുങ്ങുമ്പോൾ ഓർക്കുക.",Malayalam
1416,"ಬೇರೇನಾದರೂ ಆದರೆ ನಾನು ತಿನ್ನಬಹುದಾದ ಸಾಮಾನ್ಯ ಬ್ರೆಡ್ ಬ್ರೆಡ್ ನಿಮಗೆ ಬೇಕಾಗಿಲ್ಲ, ಆದ್ದರಿಂದ ನನ್ನ ಸೈರ್ ಶೆಲ್ನ ಹೆಂಡತಿಯಾಗಿರಬೇಕು ಅದು ಶೀತವಾಗಿದೆ ನೀವು ಎಲ್ಲಾ ಆಹಾರವನ್ನು ನೋಡಿದ ಅತ್ಯುತ್ತಮ ನಾರ್ಸಿಸ್ ಅನ್ನು ಮಾತ್ರ ತಿನ್ನಬೇಕು.",Kannada
421,അടിസ്ഥാന ആശംസകൾ ഇത് എങ്ങനെ പോകുന്നു?,Malayalam
2,മനുഷ്യനിർമിതമായ വസ്തുക്കളെ പ്രകൃതിയുടെ ഭാഗമായി കണക്കാക്കാറില്ല.,Malayalam
650,"உதாரணமாக, ஆங்கிலப் பதிப்பில், பதிவுசெய்த பயனர் மட்டுமே புதிய கட்டுரையொன்றை உருவாக்க முடியும்.",Tamil
1107,ಸಾಧ್ಯವಾಗಲಿಲ್ಲ.,Kannada
1037,"திருமணத்திற்கு நாசீசஸ் கையை கேட்க நான் என்ன வணக்கம் வந்தேன், ஆனால் அவளுடைய பெயர் உங்களுக்கு எப்படி தெரியும், நீங்கள் யார்.",Tamil
1126,ಇದರ ಅಡಿಯಲ್ಲಿ ನನಗೆ ಈ 10 ಪದಗಳಲ್ಲಿ ಯಾವುದು ನಿಮ್ಮ ನೆಚ್ಚಿನದು ಮತ್ತು ಹೇಳುತ್ತದೆ.,Kannada
405,ഇത് നിങ്ങൾക്കറിയാം.,Malayalam
1954,2005లో పోప్‌గా బాధ్యతలు చేపట్టిన బెనడిక్ట్‌ అనారోగ్య కారణాలతో తప్పుకోవాలనుకుంటున్నట్లు ప్రకటించారు.,Telugu
1203,ಸ್ಥಳೀಯ ಭಾಷಿಕರು ಬಳಸುವುದು ನಿಮಗೆ ಒಳ್ಳೆಯದು ಮತ್ತು ನಾನು ಬಡ್ತಿ ಪಡೆದಿದ್ದೇನೆ ಎಂದು ನೀವು ಹೇಳಿದಾಗ ಇದು ಧನಾತ್ಮಕ ಮತ್ತು negative ಣಾತ್ಮಕವಾಗಿರಬಹುದು ಮತ್ತು ಅವರು ನಿಮಗೆ ಒಳ್ಳೆಯದನ್ನು ಹೇಳಿದರೆ ಅಭಿನಂದನೆಗಳು ಮತ್ತು ಕೆಲವೊಮ್ಮೆ ನಾನು ಈ ಸ್ಥಳವನ್ನು ತೊರೆಯುತ್ತಿದ್ದೇನೆ ಎಂದು ನೀವು ಹೇಳಿದರೆ.,Kannada
764,எனவே நீங்கள் உங்கள் பயணத்தைத் தொடங்கப் போகிறீர்கள் என்றால்.,Tamil
985,ஆமாம் தயவு செய்து.,Tamil
142,ദുരുദ്ദേശ്യത്തോടുകൂടി വിക്കിപീഡിയയിൽ മോശമായ തിരുത്തലുകൾ നടത്തുന്നതിനാണ് വാൻഡലിസം എന്നുപറയുക.,Malayalam
617,"விக்கிப்பீடியாவிற்கு முன்னதான வேறு சில இணையத்தில், கூட்டு கலைக்களஞ்சிய உருவாக்கத்திற்கான முயற்சிகள் இருந்தபோதிலும், அவை வெற்றியடையவில்லை.",Tamil
2008,Home » తాజా వార్తలు » మహారాష్ట్ర సీఎంగా దేవేంద్ర ఫడ్నవీస్ ప్రమాణస్వీకారం,Telugu
303,മൂന്ന് നിങ്ങൾ എന്താണ് ചെയ്യുന്നതെന്ന് നിങ്ങളോട് ചോദിക്കണമെങ്കിൽ.,Malayalam
257,"എനിക്ക് എന്റെ ഫോൺ നഷ്‌ടപ്പെട്ടു, ഞാൻ ഒരു പരിഹാരത്തിലാണ് അല്ലെങ്കിൽ ഇന്ന് രാവിലെ ഞങ്ങളുടെ ബസ് തകർന്നു, ഞാൻ ഒരു പരിഹാരത്തിലാണ്, എന്റെ സുഹൃത്ത് ഒരു പരിഹാരത്തിലായിരിക്കുമ്പോൾ എല്ലായ്പ്പോഴും സഹായത്തിനായി എന്റെ അടുത്തേക്ക് തിരിയുന്നു, പോകുന്നത് നല്ലതാണെങ്കിൽ അവൻ മറക്കുന്നു.",Malayalam
1370,ನಾನು ನಿಮ್ಮೊಂದಿಗೆ ಸರಿಯಾಗಿರುತ್ತೇನೆ.,Kannada
908,தயங்குகிறது.,Tamil
1030,"அந்த நாளில் அவள் தன் வாழ்க்கையை வாழ்வாள், இரண்டு நண்பர்கள் நர்சிஸஸ் தாயைப் பார்க்க வந்தார்கள், அவர்கள் மெல்லியாக இருந்தார்கள், அவர்கள் மூவரும் பல ஆண்டுகளாக நண்பர்களாக இருந்தனர், ஆனால் டெர்ரி மற்றும் எல்லி இருவருக்கும் ஒரு ரகசியம் இருந்தது.",Tamil
423,എന്തുണ്ട് വിശേഷം?,Malayalam
1046,"ரூபி ஜாம் மற்றும் ஒரு பெரிய கடி எடுத்துக்கொண்டது இது மிகவும் சூடாக இருக்கிறது, இதை நன்றாக சாப்பிட முடியாது, இது தங்கத்தால் செய்யப்பட்ட ரொட்டி மற்றும் மிகச்சிறந்த ஒன்றாகும், ஆனால் நீங்கள் அதை சாப்பிட முடியாவிட்டால் நான் உங்களுக்கு வெள்ளி ரொட்டி வெள்ளி கிடைக்குமா?",Tamil
1510,అది మీడియాలో ప్రచారమైంది.,Telugu
629,"[36] ஜனவரி 10, 2001 அன்று விக்கித் தொழில்நுட்பத்தை, நுபீடியாவிற்கு ஆதாரம் கொடுக்கும் திட்டமாக ஆக்க, லாரி சாங்கர், நுபீடியாவின் மின்னஞ்சல் பட்டியலூடாக ஒரு பரிந்துரை கொடுத்தார்.",Tamil
878,இப்போதே.,Tamil
803,யாராவது முழு சொற்றொடரையும் மீண்டும் மீண்டும் செய்ய விரும்பினால் கடைசி வார்த்தையை நான் பிடிக்கவில்லை என்பதால் நீங்கள் அதை மீண்டும் செய்ய முடியுமா?,Tamil
1529,దాదాపు 200 కి.,Telugu
1353,"ಹೌದು, ದಯವಿಟ್ಟು.",Kannada
1204,ಅವರು ನಿಮಗೆ ಒಳ್ಳೆಯವರಾಗಿದ್ದಾರೆ ಅದು ನೀವು ಇಲ್ಲದೆ ಉತ್ತಮವಾಗಿರುತ್ತದೆ ಮತ್ತು ಇದು ನಕಾರಾತ್ಮಕ ಅರ್ಥವಾಗಿದೆ ಆದ್ದರಿಂದ ನಿಜವಾಗಿಯೂ ಶಬ್ದವನ್ನು ಆಲಿಸಿ.,Kannada
1677,తన దృష్టిని కోల్పోయాడు.,Telugu
1095,ನಾನು ಮುಂದಿನ ಬಾರಿ ನೀವು ಶಾಲೆಯಿಂದ ಗಣಿತದ ಮನೆಕೆಲಸವನ್ನು ಪಡೆದಾಗ ಮತ್ತು ನಿಮ್ಮ ಗಣಿತ ಪುಸ್ತಕವನ್ನು ಶಾಲೆಯಲ್ಲಿ ಬಿಟ್ಟಿದ್ದರೆ ನೀವು ನಿಜವಾದ ಫಿಕ್ಸ್‌ನಲ್ಲಿದ್ದೀರಿ ಎಂದು ನಿಮ್ಮ ಸ್ನೇಹಿತರಿಗೆ ಹೇಳಬಹುದು ಈಗ ಫಿಕ್ಸ್ ಪದಕ್ಕೆ ಏನಾದರೂ ಸಂಬಂಧವಿದೆ ಎಂದು ನೀವು ಭಾವಿಸಬಹುದು ಏನನ್ನಾದರೂ ದುರಸ್ತಿ ಮಾಡುವ ಮೂಲಕ.,Kannada
1176,ನನ್ನನ್ನು ಕ್ಷಮಿಸು.,Kannada
1545,"ఆ ఉత్తరం ప్రోత్సాహకరంగా ఉంది, కాబట్టి వెలెరి ఇలా అంది: “అదే నిజమైతే, మనం ఎందుకు అక్కడికి వెళ్ళకూడదు? ”",Telugu
53,അതുകൊണ്ടൊക്കെ തന്നെ വിക്കിപീഡിയ ചിലമേഖലകളെ പ്രതിനിധാനം ചെയ്യുന്നില്ല.,Malayalam
1570,"కొందరు కౌశల్‌కు మద్దతుగా, మరికొందరు అతడికి వ్యతిరేకంగా కామెంట్స్ చేయడం ప్రారంభించారు.",Telugu
651,"[56] எந்தவொரு கட்டுரையையும் அதனை உருவாக்கியவரோ, வேறு பயனரோ உரிமை கொண்டாட முடியாது என்பதோடு, எந்தவொரு அங்கீகரிக்கப்பட்ட அதிகாரத் தரப்பும், அதனை ஆராய முடியாது.",Tamil
981,சலுகைகள்.,Tamil
1304,ನಾನು ಒಪ್ಪುವುದಿಲ್ಲ ಎಂದು ನಾನು ಹೆದರುತ್ತೇನೆ.,Kannada
1905,"అంతేకాక‌, వారిలో డాక్ట‌ర్లు, వైద్యులు కూడా ఉన్నారు.",Telugu
157,എന്നാലും ആ താളുകൾ‍ ശ്രദ്ധിക്കുന്നവർ അവയെല്ലാം പെട്ടെന്നുതന്നെ മാച്ചു കളയുന്നു.,Malayalam
738,"படையினருக்கான சந்திப்பு இடத்தைக் குறிக்க இராணுவத்தால் முந்தைய சந்திப்பு பயன்படுத்தப்பட்டது, இப்போது ரெண்டெஸ்வஸ் என்ற வார்த்தையைப் பற்றி சற்று உற்சாகமான மற்றும் ரகசியமான ஒன்று இருக்கிறது, எனவே இப்போது நீங்கள் எந்த சந்திப்பிற்கும் சந்திப்பைப் பயன்படுத்தலாம்.",Tamil
2012,"దీనికి మీకు కావలసిందల్లా బియ్యం, నీరు అంతే.",Telugu
1649,ఓ ప్రయివేటు ఆసుపత్రిలో ఆయన చికిత్స పొందుతున్నాడని చెప్పారు.,Telugu
298,സുഖമാണോ?,Malayalam
1137,ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ?.,Kannada
184,[14] വസ്തുതകളിലൂന്നിയുള്ള നിർമ്മാണ-പഠന വ്യവസ്ഥിതിയാണ് കൃത്രിമബുദ്ധിയുടെ ഒരു ശാഖയായ യന്ത്രപഠനം അഥവാ മെഷീൻ ലേർണിങ്(Machine Learning).,Malayalam
633,"[40] என்ற பெயரில் வெளியிடப்பட்டு, நுபீடியா மின்னஞ்சல் பட்டியலில் லாரி சாங்கரால் அறிவிக்கப்பட்டது.",Tamil
980,என்னால் முடியாது என்று பயப்படுகிறேன்.,Tamil
1076,ಹಣ ಆದರೆ ನಿಮ್ಮ ಬಳಿ ಸಾಕಷ್ಟು ಹಣವಿದೆ ಎಂದು ನೀವು ಬ್ಯಾಂಕ್‌ಗೆ ಸಾಬೀತುಪಡಿಸದ ಹೊರತು ನೀವು ಆ ಬ್ಯಾಂಕ್ ಸಾಲವನ್ನು ಪಡೆಯುವುದಿಲ್ಲ ಆದ್ದರಿಂದ ಮುಂದಿನ ಬಾರಿ ನೀವು ಟ್ರಿಕಿ ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ ಸಿಲುಕಿಕೊಂಡಿದ್ದೀರಿ ಎಂಬುದನ್ನು ನೆನಪಿಡಿ.,Kannada
1351,ಕೆಲವು ಐಸ್ ಕ್ರೀಮ್ ಬಗ್ಗೆ ಹೇಗೆ?,Kannada
